Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"Lakeland Industries, Inc.","LAKE","YES","0","Industrial Products","28.51","-6.68","6.41","18985.23","8.89","8.46","6.70069","24.67","7.881","1.84819","1.30369","18.93"
"Landec Corporation","LNDC","YES","0","Consumer Staples","11.18","-6.7","-11.18","-375.49","5.88","2.29","1.54219","-.02","1.99769","7.47599","1.09809","-8.85"
"Lands End, Inc.","LE","YES","0","Retail-Wholesale","24.6","3.12","113.2","-43.83","-1.57","1.3",".8891","1.28","1.3904","1.92579","1.27699",".76"
"Lannett Co Inc","LCI","YES","0","Medical","5.51","-20.61","-24.88","-5000.65","-16.73","-1.38","6.2328","2.83","7.40019","3.12069",".50156","-37.73"
"Lantheus Holdings, Inc.","LNTH","YES","0","Medical","21.45","46.32","6.52","-142.55","-2.28","3.37","9.9784","3.41","13.91499","5.75279",".44758","-3.97"
"Las Vegas Sands Corp.","LVS","YES","0","Consumer Discretionary","63.61","-3.26","-4.75","-162.45","-73.71","-9.17","8.5541","-7.64","10.307","75.05",".17068","-46.65"
"Lattice Semiconductor Corporation","LSCC","YES","0","Computer and Technology","49.22",".75","104.82","8.96","1","-.86","4.17159","8.58","5.29479","2.868",".604","11.61"
"Lee Enterprises, Incorporated","LEE","YES","0","Consumer Staples","28.17","116.09","-24.95","-18.98","21.21","-1.73","2.2543","-.18","3.2618","39.768",".79953","1.06"
"Lifevantage Corporation","LFVN","YES","0","Medical","9.31","-5.22","19.31","-.04","3.08","3.49","16.361","20.62","36.38199","2.6235","3.58459","5.12"
"Ligand Pharmaceuticals Incorporated","LGND","YES","0","Medical","154.15","42.19","18.91","-100.47","54.98","11.83","5.8035","4.26","8.1798","2.3887",".14799","-1.6"
"LivaNova PLC","LIVN","YES","0","Medical","77.78","6.39","-16.23","-122.44","-13.84","-6","5.3547","2.5","7.4277","1.93739",".37786","-36.93"
"Logitech International S.A.","LOGI","YES","0","Computer and Technology","107.37","3.7","31.15","236.58","6.73","13.37","20.98399","28.59","37.165","7.3597","1.4893","21.14"
"Lumber Liquidators Holdings, Inc","LL","YES","0","Retail-Wholesale","26.74","-21.74","121.63","535.69",".47","3.28","-.79717","10.14","-.29913","2.67939","1.66589","5.6"
"Lumentum Holdings Inc.","LITE","YES","0","Computer and Technology","90.95","-9.06","47.14","5661.76","7.24","17.78","11.246","12.08","14.08899","4.9835",".50744","11.11"
"Luna Innovations Incorporated","LUNA","YES","0","Business Services","10.59",".4","69.58","-38.39","17.25","7.19","1.8228","7.66","2.125","2.80559",".82052","3.98"
"Lydall, Inc.","LDL","YES","0","Conglomerates","33.49","2.54","-22.44","-4.56","-8.76","9.8","5.77089","-.07","7.6092","7.9471","1.00499","-9.65"
"MACOM Technology Solutions Holdings, Inc.","MTSI","YES","0","Computer and Technology","59.2",".24","-33.88","93.18","6.07","-3.01","2.59279","4.7","2.9872","2.8443",".49355","-4.77"
"MASTERCRAFT BOAT HOLDINGS, INC.","MCFT","YES","0","Consumer Discretionary","27.55","2.19","19.38","-196.03","-22.15","18.7","19.71699","13.63","31.93099","8.98369","1.67809","-4.65"
"MI Homes, Inc.","MHO","YES","0","Construction","62.56","29.31","32.67","88.01","21.83","15.1","5.9032","10.3","7.0703","1.27409","1.27049","7.87"
"MRC Global Inc.","MRC","YES","0","Industrial Products","9.44","33.65","11.86","-802.56","-30.09","-2.03","1.3579",".36","1.9569","3.53509","1.31889","-10.7"
"MTS Systems Corporation","MTSC","YES","0","Computer and Technology","58.49","-7.35","-7.07","-827.83","-7.16","7.4","3.82329","2.62","5.50279","3.0106",".63618","-33.55"
"Macquarie Infrastructure Company","MIC","YES","0","Conglomerates","32.12","-20.08","51.44","-694.87","-50.96","-3.47","3.07979","3.96","3.9649","16.714",".17344","-84.44"
"Macys, Inc.","M","YES","0","Retail-Wholesale","16.12","29.28","-12.87","-799.11","-29.37","-5.88","4.1185","-3.76","7.3144","2.8206",".94897","-22.73"
"Magellan Health, Inc.","MGLN","YES","0","Medical","94.05","4.29","-6.22","583.94","-36.06","7.99","3.34479","1.27","5.21059","111.47","1.57679","7.28"
"Magnachip Semiconductor Corp.","MX","YES","0","Computer and Technology","26.73","83.67","-8.5","1680.52","-35.99","2.22","1.93719","4.23","4.05889","9.7544",".92479","59.11"
"Malibu Boats, Inc.","MBUU","YES","0","Consumer Discretionary","82.6","22.56","32.49","-2.45","-4.51","31.49","14.77999","14.1","26.037","6.0731","1.19579","10.52"
"Mallinckrodt public limited company","MNKKQ","YES","0","Medical",".336","65.06",".25","5.21","-30.01","-8.37","5.65999","5.62","8.0782","4.58059",".22539","-42.68"
"Manitex International, Inc.","MNTX","YES","0","Industrial Products","8.19","46.19","-3.83","-60.27","-25.48","-13.81","1.12399","-1.28","1.80219","2.2952",".9058","-8.13"
"MarineMax, Inc.","HZO","YES","0","Retail-Wholesale","51.49","29.71","32.78","122.19","22.03","12.14","5.48839","10.83","10.845","3.13779","1.9312","5.51"
"Marriot Vacations Worldwide Corporation","VAC","YES","0","Consumer Discretionary","172.63","16.13","2.2","-299.28","-33.73","22.19","4.20399","-.41","5.68739",".57646",".31663","-9.53"
"MasTec, Inc.","MTZ","YES","0","Construction","97.35","31.92","45.21","-17.71","-12","9.5","6.1166","7.08","9.7594","54.527","1.24469","5.11"
"Masimo Corporation","MASI","YES","0","Medical","234.51","-19.81","19.27","22.47","21.96","12.02","15.28699","12.8","19.114","2.31649",".69998","21.01"
"Masonite International Corporation","DOOR","YES","0","Construction","123.51","12.75","14.82","54.78","3.69","3.14","6.0679","7.67","7.8845","6.76669","1.1279","3.06"
"Matrix Service Company","MTRX","YES","0","Oils-Energy","13.755","15.59","-22.67","-16725.89","-22.29","-3.73","2.1772","-.86","3.85599","104.648","1.53009","-2.37"
"MaxLinear, Inc","MXL","YES","0","Computer and Technology","35.38","-12.26","-37.14","-395.49","50.89","-3.32","10.46899","1.95","12.493","3.9718",".56029","-20.6"
"Maxim Integrated Products, Inc.","MXIM","YES","0","Computer and Technology","96.71","1.12","8.19","-7.96","-5.31",".31","15.979","19.41","21.951","3.1473",".64016","30.66"
"Melco Resorts & Entertainment Limited","MLCO","YES","0","Consumer Discretionary","21.21","1.79","36.6","-442.41","-69.88","-6.54","1.30579","-17.1","1.753","48.416",".24921","-73.12"
"MercadoLibre, Inc.","MELI","YES","0","Retail-Wholesale","1547.79","-17.34","-60.79","99.59","73.04","40.28","3.9291","-.01","7.21999","45.805",".71675","-.02"
"Mercury Systems Inc","MRCY","YES","0","Computer and Technology","74.92","-22.14","36.7","28.2","21.67","28.97","5.3171","6.21","5.9857","2.48539",".48201","9.42"
"Meredith Corporation","MDP","YES","0","Consumer Staples","30.62","48.33","2.5","-260.07","-10.66","18.44","4.86679","4.57","8.3884","28.288",".51598","-3.01"
"Meridian Bioscience Inc.","VIVO","YES","0","Medical","27.15","39.57","5.04","267.16","26.19","5.07","12.23299","18.06","14.272","1.8961",".76314","23.44"
"Merit Medical Systems, Inc.","MMSI","YES","0","Medical","60.49","-.51","13.18","-280.57","-3.11","14.79","5.5567","5.49","6.6935","2.6284",".56698","-1.02"
"Meritor, Inc.","MTOR","YES","0","Auto-Tires-Trucks","29.49","-3.21","6.51","-1.25","-30.63","3.1","8.0767","2.59","22.891","5.62319","1.0182","7.82"
"MettlerToledo International, Inc.","MTD","YES","0","Computer and Technology","1210.22","-3.38","14.31","7.42","2.54","5.39","20.04299","22.16","33.284","4.34639","1.1071","19.54"
"Micron Technology, Inc.","MU","YES","0","Computer and Technology","93.49","14.86","61.53","39.18","-8.42","11.08","14.65999","7.23","17.46599","3.062",".44031","13.6"
"Mistras Group Inc","MG","YES","0","Computer and Technology","11.82","40.3","-28.33","-1741.27","-20.84","-1.22","4.906","-.95","6.32019","29.673","1.02369","-16.79"
"Modine Manufacturing Company","MOD","YES","0","Auto-Tires-Trucks","15.25","11.18","5.5","-1974.07","-10.72","8.17","4.2086","3.43","7.4295","7.3189","1.2036","-11.46"
"Mohawk Industries, Inc.","MHK","YES","0","Consumer Discretionary","200.68","31.47","-8.9","-30.72","-4.2","2.65","7.14389","4.61","10.475","3.6184",".69802","5.4"
"Molson Coors Beverage Company","TAP","YES","0","Consumer Staples","52.41","7.52","6.32","-492.64","-9.88","19.32","3.38529","3.01","4.36859","8.909",".4146","-8.09"
"Monarch Casino & Resort, Inc.","MCRI","YES","0","Consumer Discretionary","64.74","-4.45",".91","-25.58","-25.99","-.25","7.30859","3.85","8.47169","11.663",".29949","12.84"
"Monster Beverage Corporation","MNST","YES","0","Consumer Staples","93.73","-6.94","17.94","27.24","9.47","11.05","19.90399","22.65","24.68899","5.576",".83704","30.65"
"Motorcar Parts of America, Inc.","MPAA","YES","0","Auto-Tires-Trucks","22.97","6.43","-9.13","446.55","13.33","8.26","6.35279","3.8","11.894","1.618",".67194","2.38"
"Myriad Genetics, Inc.","MYGN","YES","0","Medical","30.5","45.88","-18.53","-777.86","-24.97","-2.79","5.31589","-4.62","6.6967","6.2711",".38988","-41.29"
"NAPCO Security Technologies, Inc.","NSSC","YES","0","Industrial Products","35.74","30.08","21.93","-50.66","-1.53","5.81","11.295","8.61","13.58699","1.73489",".94451","7.26"
"NCR Corporation","NCR","YES","0","Computer and Technology","39.33","-3.92","-7.94","-117.53","-10.24",".57","5.40089","2.47","9.3563","6.50869",".65776","-1.37"
"NETGEAR, Inc.","NTGR","YES","0","Computer and Technology","41.25","-5.4","-24.98","126.02","25.68","-5.33","5.62839","5.91","8.51729","5.45429","1.27349","4.64"
"NEXTGEN HEALTHCARE, INC","NXGN","YES","0","Medical","18.66","-5.57","-2.94","-62.64","2.09","2.09","7.6441","7.38","10.692","14495.62402",".77922","1.07"
"NN, Inc.","NNBR","YES","0","Industrial Products","7.06","5.29","-33.05","-123.64","-49.55","-1.9","2.28279",".46","2.81019","3.7532",".51109","-17.26"
"National Beverage Corp.","FIZZ","YES","0","Consumer Staples","48.63","5.52","15.03","42.82","-1.35","7.98","28.183","26.25","41.16099","9.81499","1.646","15.95"
"National Vision Holdings, Inc.","EYE","YES","0","Medical","46.79","-7.69","-18.83","10.6","-.73","6.74","2.45239","3","3.2939","6.67759",".75418","2.12"
"Natural Gas Services Group, Inc.","NGS","YES","0","Oils-Energy","9.1","-10.03","-47.1","113.89","-13.24","-1.51",".73035","-1.01",".91167","1.962",".22405","2.66"
"Natus Medical Incorporated","NTUS","YES","0","Medical","25.47","19.96","-19.22","-86.93","-16.11","4.28","6.984","2.13","8.91839","2.5355",".67438","-4"
"Nautilus Group, Inc. The","NLS","YES","0","Retail-Wholesale","16.34","-18","5.44","163.23","78.66",".48","6.90969","31.36","11.74199","9.1786","2.196","10.83"
"Navigator Holdings Ltd.","NVGS","YES","0","Transportation","9.14","-22.7","-46.83","96.1","10.32","1.25",".67577",".37",".74764","19.52899",".18005","-.2"
"Navistar International Corporation","NAV","YES","0","Auto-Tires-Trucks","44.11","-7.62","-22.64","-325.29","-33.31","2.19","2.0064",".74","54.42399","7.04629","1.1561","-5.24"
"NeoGenomics, Inc.","NEO","YES","0","Medical","48.81","-15.64","6.47","-47.89","8.71","22.3","1.9426","1.01","2.2783","11.232",".49035",".94"
"Neogen Corporation","NEOG","YES","0","Medical","89.34","4.52","10.33","4.29",".96","6.24","8.8837","7.35","9.81849","2.5078",".5383","13.66"
"Net 1 UEPS Technologies, Inc.","UEPS","YES","0","Industrial Products","6.17","11.2","-47.97","48.69","-60.34","-24.43","-5.2611","-28.1","-9.5343","5.24779",".28597","-81.31"
"NetScout Systems, Inc.","NTCT","YES","0","Computer and Technology","28.72","-2.15","-9.23","67.21","-1.99","-6.14","2.9102","2.84","3.74259","9.0338",".27303","1.8"
"New Gold Inc.","NGD","YES","0","Basic Materials","1.76","-30.6","-31","-7.76","2.03","-3.6","-.03275",".78","-.05248","3.46569",".26118","-12.31"
"New Oriental Education & Technology Group, Inc.","EDU","YES","0","Consumer Discretionary","14.74","-29.16","13.15","-5.86","15.57","25.16","8.27439","5.06","14.91499","54.25999",".47933","10.55"
"Nokia Corporation","NOK","YES","0","Computer and Technology","4","-4.59","-2.49","-33154.12","-4.36","4.02","3.44009","3.87","6.8694","5.1798",".57533","-11.59"
"Nomad Foods Limited","NOMD","YES","0","Consumer Staples","28.03",".91","13.09","48.87","10.38","8.56","3.8589","4.6","5.3315","5.61789",".44077","8.96"
"Nordstrom, Inc.","JWN","YES","0","Retail-Wholesale","37.23","8.69","-5.86","-238.83","-30.98","-3.3","4.72569","-5.53","10.689","4.55229","1.10309","-6.44"
"Norwegian Cruise Line Holdings Ltd.","NCLH","YES","0","Consumer Discretionary","31.08","7.61","15.24","-531.35","-80.19","-6.52","4.2104","-12.61","5.4639","20.434",".07335","-313.5"
"Nova Measuring Instruments Ltd.","NVMI","YES","0","Computer and Technology","98.17","28.56","16.54","36.21","19.78","11.15","14.906","11","18.51899","2.02419",".55563","17.78"
"Novanta Inc.","NOVT","YES","0","Computer and Technology","135.81","6.33","20.03","9.19","-5.67","13.57","9.0787","8.1","11.557","3.3452",".68963","7.54"
"NuVasive, Inc.","NUVA","YES","0","Medical","66.65","6.74","3.61","-156.95","-10.06","5.16","5.7673","2.5","7.3954","1.03489",".41117","-3.54"
"OI Glass, Inc.","OI","YES","0","Industrial Products","14.73","17.42","-7.56","162.16","-8.97","-.87","3.7853","2.11","5.95329","5.5732",".66598","4.07"
"ON Semiconductor Corporation","ON","YES","0","Computer and Technology","43.57","23.91","6.68","10.63","-4.76","9.37","7.48719","3.82","10.142","2.79229",".5701","4.46"
"ONESPAN INC","OSPN","YES","0","Computer and Technology","26.49","14.91","-13.45","-160.99","-15.27","5.5","5.3867","1.81","7.17869","4.09689",".57928","-2.48"
"ORTHOFIX MEDICAL INC.","OFIX","YES","0","Medical","42.92","-7.79","-19.07","108.84","-11.61","1.4","6.22329",".95","8.4776","1.2265",".7627",".62"
"OReilly Automotive, Inc.","ORLY","YES","0","Retail-Wholesale","514.26","3.61","20.45","25.97","14.33","6.78","14.656","14.93","31.51199","1.54739",".98891","15.1"
"OSI Systems, Inc.","OSIS","YES","0","Computer and Technology","96.85","-3.92","18.98","-19.37","-1.36","7.82","5.5303","6.92","9.43449","2.7576",".85882","5.71"
"Ollies Bargain Outlet Holdings, Inc.","OLLI","YES","0","Consumer Staples","89.29","1.15","32.19","71.97","28.45","18.04","8.35429","11.21","11.243","3.0587",".97468","13.42"
"Omnicell, Inc.","OMCL","YES","0","Medical","133.35","2.14","41.04","-47.51","-.54","10.24","4.46719","4.98","6.1886","4.4923",".59501","3.61"
"Onto Innovation Inc.","ONTO","YES","0","Computer and Technology","71.55","38.73","25.7","567.38","81.92","22","9.68029","6.68","11.522","1.56959",".38833","5.58"
"OraSure Technologies, Inc.","OSUR","YES","0","Medical","11.07","-2.67","-14.01","-189.59","11.07","5.98","6.0886","-3.38","6.9","2.4781",".41966","-8.69"
"Orion Engineered Carbons S.A","OEC","YES","0","Basic Materials","19.85","8.01",".48","-79.11","-23.03","3.16","8.4847","4.71","12.84799","5.9172",".85523","1.6"
"Orion Group Holdings, Inc.","ORN","YES","0","Construction","6.29","13.84","-33.04","477.31",".22","5.67","-.24784","3.69","-.13848","374.61898","1.8286","2.85"
"PBF Energy Inc.","PBF","YES","0","Oils-Energy","14.91","95.5","26.07","-535.81","-38.32","8.75","-.17905","-14.26","-.15021","10.26399","1.5154","-9.21"
"PC Connection, Inc.","CNXN","YES","0","Retail-Wholesale","46.45","-7.5","10.81","-32.09","-8.15",".2","7.821","5.81","11.95699","15.02299","2.6661","2.15"
"PFSweb, Inc.","PFSW","YES","0","Business Services","6.98","-4.47","-5.73","-153.06","16.49","-.67","1.15289","-1.47","2.2874","68.44999","1.74339","-1.61"
"PGT, Inc.","PGTI","YES","0","Construction","25.9","17.33","17.97","3.25","18.48","19.07","6.92929","5.52","8.07279","10.288",".84276","5.11"
"PQ Group Holdings Inc.","PQG","YES","0","Basic Materials","17.04","11.87","8.13","-342.59","-29.33","-1.69","2.55159","4.03","2.9618","3.671",".3443","-13.96"
"PVH Corp.","PVH","YES","0","Consumer Discretionary","104.08","2.32","-22.47","-372.25","-28.02",".71","4.5734","-1.07","6.4787","2.1991",".54764","-15.93"
"Pacific Gas & Electric Co.","PCG","YES","0","Utilities","11.44","-13.81","-.41","82.85","7.82",".53","2.63429","2.08","8.85239","19.575",".18974","-7.1"
"Pacira BioSciences, Inc.","PCRX","YES","0","Medical","67.49","6.04","184.01","1421.01","2.05","12.98",".78953","5.63",".86993","1.8082",".41091","33.87"
"Pampa Energia S.A.","PAM","YES","0","Utilities","15","-.67","5.54","-155.14","-62.24","11.86","3.12969","2.22","5.37249","5.04809",".35859","-18.98"
"Par Pacific Holdings, Inc.","PARR","YES","0","Oils-Energy","15.62","-2.49","7.51","-1102.44","-42.15","25.67",".11626","-11.53","-.27787","7.72189","1.4247","-13.09"
"Party City Holdco Inc.","PRTY","YES","0","Consumer Discretionary","6.17","-8.94","-16.15",".8","-21.21","-2.64","2.72519","-1.67","3.55679","2.3747",".61149","-28.54"
"Paycom Software, Inc.","PAYC","YES","0","Computer and Technology","377.98","-23.06","49.91","-20.56","14.07","29","6.5137","5.79","30.531","112.802",".36096","17.05"
"Penumbra, Inc.","PEN","YES","0","Medical","274.04","44.96","54.15","-132.4","2.38","24.64","1.73769",".9","2.13249","1.16859",".72834","-2.8"
"Perdoceo Education Corporation","PRDO","YES","0","Consumer Discretionary","12.24","-8.18","21.09","77.57","9.5","-2.1","13.284","17.11","19.364","191.466","1.0309","18.08"
"Performance Food Group Company","PFGC","YES","0","Retail-Wholesale","58.38","11.53","-2.63","-200.98","27.06","11.9","3.34419",".5","5.66949","14.852","3.4605","-.65"
"PetIQ, Inc.","PETQ","YES","0","Medical","36.18","-13.79","-25.58","-577.16","9.95","41.6","5.8255","1.48","6.8245","6.2655",".97697","-9.93"
"Photronics, Inc.","PLAB","YES","0","Computer and Technology","13.38","10.1","8.72","-9.39","10.72","6.07","2.8691","2.66","3.37069","8.36719",".50696","5.24"
"Pilgrims Pride Corporation","PPC","YES","0","Consumer Staples","24.26","13.76","-14.52","-79.22","5.98","10.74","8.807","3.63","12.70199","8.3407","1.64779",".78"
"Planet Fitness, Inc.","PLNT","YES","0","Consumer Discretionary","82.2","-5.37","-10.14","-112.74","-40.97","11.98","7.1974",".22","13.13399","36.03099",".22199","-3.69"
"Plantronics, Inc.","PLT","YES","0","Computer and Technology","38.54","36.47","-4.23","-327.93","1.34","21.7","5.98089","3.98","7.4196","6.1486",".73805","-44.19"
"Plexus Corp.","PLXS","YES","0","Computer and Technology","94.5","12.18","11.49","4.49","7.14","7.47","5.46619","5.72","9.85589","3.926","1.5061","3.64"
"Post Holdings, Inc.","POST","YES","0","Consumer Staples","109.17","-1.76","14.55","-117.5",".31","3.79","2.31279","1.53","2.79859","6.65189",".47056","-.3"
"Potbelly Corporation","PBPB","YES","0","Retail-Wholesale","6.13","29.37","-16.26","-172.55","-28.91","-3.39","1.4648","-14.6","-6.0119","27.89399",".9185","-22.45"
"Prestige Consumer Healthcare Inc.","PBH","YES","0","Consumer Discretionary","43.32","13.37","8.46","588.3","-1.31","3.1","4.08379","4.79","5.00479","3.4709",".27599","17.37"
"Pretium Resources, Inc.","PVG","YES","0","Basic Materials","11.27","-9.74","76.61","-193.94","27.46","15.31","3.78299","11.24","4.70349","17.472",".3905","-6.22"
"Proto Labs, Inc.","PRLB","YES","0","Industrial Products","119.19","-27.87","7.86","-20.09","-5.3","12.71","10.81999","7.15","12.11499","20.361",".61035","11.71"
"QIAGEN N.V.","QGEN","YES","0","Medical","49.97","-13.47","12.5","965.87","22.53","6.26","6.4808","9.08","8.16219","2.77839",".33761","19.2"
"Qorvo, Inc.","QRVO","YES","0","Computer and Technology","194.98","9.86","16.02","40.47","4.82","5.1","9.8478","13.04","10.95699","4.08489",".52709","13.01"
"Quad Graphics, Inc","QUAD","YES","0","Industrial Products","3.83","-11.75","-26.18","17.91","-25.33","-6.14","2.49469",".69","4.2546","12.50399","1.37849","-4.38"
"Quidel Corporation","QDEL","YES","0","Medical","130.21","-32.22","194.96","1011.18","210.66","48.13","11.59399","67.38","18.38999","3.47239","1.3135","48.76"
"Qurate Retail Group, Inc.","QRTEA","YES","0","Retail-Wholesale","11.75","-2.1","6.87","364.04","5.34","9.66","5.0706","7.51","7.60659","6.73379",".8464","8.49"
"R.R. Donnelley & Sons Company","RRD","YES","0","Business Services","4.25","74.43","-27.25","205.69","-24.06","-13.98","2.19549","2.8","4.49359","12.281","1.549","1.93"
"RBC Bearings Incorporated","ROLL","YES","0","Industrial Products","198.34","3.02","11.64","-20.44","3.55","3.37","8.55049","7.47","9.78279","1.0426",".46588","15.51"
"REV Group, Inc.","REVG","YES","0","Transportation","18.49","104.81","-57.39","-197.22","-5.25","3.5","3.8938","1.14","5.97819","3.6788","1.6897","-.93"
"RF Industries, Ltd.","RFIL","YES","0","Computer and Technology","6.6","23.25","14.7","-117.54","-22.2","13.44","4.92339","-.77","6.0247","3.3059","1.00469","-1.26"
"RH","RH","YES","0","Retail-Wholesale","607.47","22.04","77.93","23.34","7.6","5.42","8.2704","17.61","15.97399","3.0113","1.08379","9.54"
"Radware Ltd.","RDWR","YES","0","Computer and Technology","26.97","-11.31","34.57","-57.3","-.81","6.33","1.6432","2.68","2.4978","3.2097",".40812","3.85"
"Ralph Lauren Corporation","RL","YES","0","Consumer Discretionary","123.7","9.48","-17.92","-144.52","-2.43","-7.03","7.5328",".62","11.876","2.10269",".5672","-6.75"
"Rambus, Inc.","RMBS","YES","0","Computer and Technology","20.41","8.3","-90.53","51.77","8.36","-7.68","3.6205","-.09","4.07819","4.8515",".18684","-17.97"
"Raven Industries, Inc.","RAVN","YES","0","Conglomerates","39.57","6.92","14.22","-46.37","-8.93","7.79","9.90929","6.78","11.725","4.48159",".83575","5.42"
"Rayonier Advanced Materials Inc.","RYAM","YES","0","Basic Materials","9.77","36.18","-8.74","104.55","-2.03","22.99","1.8047","-.48","2.68589","6.30789",".70146",".06"
"Red Robin Gourmet Burgers, Inc.","RRGB","YES","0","Retail-Wholesale","37.23","73.15","-27.08","-3393.21","-33.94","-4.69","-.04051","-15.59","-2.84271","32.414",".83516","-31.78"
"Red Rock Resorts, Inc.","RRR","YES","0","Consumer Discretionary","34.15","24.4","-29.87","-4388.12","-36.31","1.11","2.04959","-.14","2.31189","34.671",".28709","-12.72"
"Regeneron Pharmaceuticals, Inc.","REGN","YES","0","Medical","478.68","-7.62","34.9","66.05","8.06","15.48","18.457","20.86","24.106",".65491",".5358","41.35"
"Regis Corporation","RGS","YES","0","Retail-Wholesale","13.04","31.8","141.04","-401.33","-37.35","-23.02","1.7178","-7.2","2.6479","3.11509",".3273","-50.45"
"Renewable Energy Group, Inc.","REGI","YES","0","Oils-Energy","65.31","-17.58","25.73","-65.1","-19.09","8.04","6.5148","8.19","9.02919","10.35599","1.36059","6.02"
"Repligen Corporation","RGEN","YES","0","Medical","204.97","-3.67","33.03","179.88","35.53","35.83","5.27159","5.74","5.99259","2.0524",".23523","16.36"
"Ribbon Communications Inc.","RBBN","YES","0","Computer and Technology","8.25","15.98","82.11","168.11","49.85","32.1","-1.6743","6.05","-2.53391","6.32329",".57656","10.5"
"Rogers Corporation","ROG","YES","0","Computer and Technology","195.18","14.86","9.64","5.64","-10.65","6.76","8.24339","7.08","9.9586","4.3997",".5986","6.23"
"Ruths Hospitality Group, Inc.","RUTH","YES","0","Retail-Wholesale","24.37","26.03","-13.81","-159.93","-40.66","-.33","12.159","-2.21","22.871","29.75799",".50543","-9.11"
"Ryanair Holdings PLC","RYAAY","YES","0","Transportation","114.12","-3.69","1.39","-230.04","5.94","-2.8","8.5121","-5.3","12.321","422.1",".19122","-48.54"
"Ryerson Holding Corporation","RYI","YES","0","Basic Materials","16.19","13.11","13.3","-179.85","-22.99","9.32","1.54879","-.16","2.75659","4.51809","1.79849","-1.9"
"SEACOR Holdings, Inc.","CKH","YES","0","Oils-Energy","41.51","-10.16","-3.99","-12.93","-5.77","-2.23","-.50452","1.54","-.76179","150.95399",".4968","3.09"
